GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - With an Internet subscription
HD02_VD02,Margin of Error; Total: - With an Internet subscription
HD01_VD03,Estimate; Total: - With an Internet subscription - Dial-up with no other type of Internet subscription
HD02_VD03,Margin of Error; Total: - With an Internet subscription - Dial-up with no other type of Internet subscription
HD01_VD04,Estimate; Total: - With an Internet subscription - Broadband of any type
HD02_VD04,Margin of Error; Total: - With an Internet subscription - Broadband of any type
HD01_VD05,Estimate; Total: - With an Internet subscription - Cellular data plan
HD02_VD05,Margin of Error; Total: - With an Internet subscription - Cellular data plan
HD01_VD06,Estimate; Total: - With an Internet subscription - Cellular data plan - Cellular data plan with no other type of Internet subscription
HD02_VD06,Margin of Error; Total: - With an Internet subscription - Cellular data plan - Cellular data plan with no other type of Internet subscription
HD01_VD07,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL"
HD02_VD07,"Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL"
HD01_VD08,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL - Broadband such as cable, fiber optic or DSL with no other type of Internet subscription"
HD02_VD08,"Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL - Broadband such as cable, fiber optic or DSL with no other type of Internet subscription"
HD01_VD09,Estimate; Total: - With an Internet subscription - Satellite Internet service
HD02_VD09,Margin of Error; Total: - With an Internet subscription - Satellite Internet service
HD01_VD10,Estimate; Total: - With an Internet subscription - Satellite Internet service - Satellite Internet service with no other type of Internet subscription
HD02_VD10,Margin of Error; Total: - With an Internet subscription - Satellite Internet service - Satellite Internet service with no other type of Internet subscription
HD01_VD11,Estimate; Total: - With an Internet subscription - Other service with no other type of Internet subscription
HD02_VD11,Margin of Error; Total: - With an Internet subscription - Other service with no other type of Internet subscription
HD01_VD12,Estimate; Total: - Internet access without a subscription
HD02_VD12,Margin of Error; Total: - Internet access without a subscription
HD01_VD13,Estimate; Total: - No Internet access
HD02_VD13,Margin of Error; Total: - No Internet access
